supplier_name,total_water_production_16,total_water_production_15,total_water_production_13,savings_16,savings_15,savings_change,residential_water_usage_mean_16,cc_score
Olivehurst Public Utility District,442700000.0,356900000.0,594200000.0,-0.25496465836418714,-0.3993604846852912,0.14439582632110404,217.52921315058902,2.129675500406212
Olivenhain Municipal Water District,1827570313.4722,1463007736.9446,2207513077.3542,-0.17211348271484664,-0.3372597644141351,0.16514628169928844,160.42990197535167,2.0917580980064217
"Kingsburg, City of",362302000.0,302209000.0,494209000.0,-0.26690529715160993,-0.3884996023949382,0.12159430524332826,293.01932723232136,2.081427887610449
Mountain House Community Services District,335251056.0,266813244.0,399284000.0,-0.16036942126406267,-0.331770759659791,0.17140133839572835,143.35597085771698,2.0522114291393305
Elk Grove Water Service,738558802.0,575343496.0,947446555.0,-0.22047444459809135,-0.3927430597919056,0.17226861519381426,141.72558608316464,2.0508329826965275
Beaumont-Cherry Valley Water District,1255831399.658,1056661231.93279,1422638003.6535702,-0.11725161535624887,-0.25725221087928984,0.14000059552304098,214.19869501335302,2.0489827083726175
Truckee-Donner Public Utilities District,545240600.0,431735107.0,660873156.0,-0.17496936431777235,-0.3467201639523092,0.17175079963453685,139.17957743798934,2.0262196581698992
Valley Center Municipal Water District,725019425.075,590540541.1521,1045363962.9587,-0.3064430659892147,-0.4350861880864063,0.1286431220971916,232.267852212581,1.960564450514508
Rubio Canyon Land and Water Association,191600639.076,159667199.23000002,232983770.305,-0.17762237762237762,-0.31468531468531463,0.137062937062937,194.235553717671,1.9102244427532689
California Water Service Company Livermore,949791739.4196,723553093.6535,1340878622.105,-0.29166464155528554,-0.46038882138517623,0.16872417982989069,127.43014924427133,1.9046422836847987
Myoma Dunes Mutual Water Company,360000000.0,308000000.0,461900000.0,-0.22061052175795626,-0.3331890019484737,0.11257848019051742,279.52799368073266,1.8822098206546163
Clovis  City of,2710161000.0,2263860000.0,3391994000.0,-0.2010124428286135,-0.33258726283124324,0.13157482000262974,203.02072941807668,1.8747483345300757
Lee Lake Water District,277795823.357332,226534067.516736,342512789.586604,-0.1889475902706646,-0.3386113616657894,0.14966377139512482,155.13615561311966,1.8641171302889943
North Tahoe Public Utility District,142485000.0,118743000.0,166399000.0,-0.1437148059784013,-0.2863959518987494,0.14268114592034808,170.64919211469532,1.8638832561212968
Red Bluff  City of,429874559.0,359620149.0,533822065.0,-0.1947231349457239,-0.3263295532753971,0.13160641832967318,200.10009801477068,1.8616615137257932
Quartz Hill Water District,543230172.46597,459730744.29722,756714993.37929,-0.28212051139617694,-0.39246513110017356,0.11034461970399662,284.03996065090234,1.8596914061251728
Glendora  City of,1063148933.8443601,874888271.89511,1356881185.68497,-0.21647602969181876,-0.35522116370605,0.13874513401423125,174.87719872887135,1.8347815092485853
Arvin Community Services District,284930000.0,222193000.0,340940000.0,-0.16428110517979702,-0.34829295477210065,0.18401184959230363,99.19113284833706,1.832661328628741
Sacramento Suburban Water District,3707161000.0,3031830000.0,4700581000.0,-0.21133983224626912,-0.3550095190360511,0.14366968678978198,159.81803532241668,1.8162600847050767
Pleasanton  City of,1542951000.0,1203607000.0,2201886000.0,-0.2992593622013129,-0.45337451621019437,0.15411515400888148,138.564470403172,1.8141420406955335
Valencia Water Company,2764269342.5549397,2246090627.79673,3537166117.7990503,-0.21850734444019673,-0.3650027866957159,0.14649544225551916,150.71412241129434,1.798461261837443
Western Municipal Water District of Riverside,2430851645.42,2038526527.3120003,2840772740.586,-0.1442991511814636,-0.28240422115164016,0.13810506997017655,168.314041209734,1.7917185745229525
California Water Service Company Bear Gulch,1315071189.0866,1087235871.3281999,1744087177.8748,-0.24598311038039006,-0.37661609745161057,0.1306329870712205,184.327233847406,1.7735670450910397
Livermore  City of Division of Water Resources,598240000.0,474837000.0,789902000.0,-0.2426402262559153,-0.3988659352679193,0.156225709012004,126.69262722445266,1.758442515057721
Tuolumne Utilities District,511163133.53489995,395257780.951,653983813.989,-0.21838565022421527,-0.39561534628799205,0.17722969606377678,97.6198934587174,1.7510786678753627
California Water Service Company Los Altos/Suburban,1245599664.8502,1009943912.8438001,1647276718.9130998,-0.24384309536526017,-0.38690087630803305,0.14305778094277288,146.6887571927907,1.7326462329557606
Brentwood  City of,1051930000.0,834050000.0,1480380000.0,-0.28941893297666815,-0.4365973601372621,0.14717842716059393,138.4242265103223,1.7316104984170069
East Niles Community Service District,963542669.639,819516338.905,1205650279.9,-0.2008108108108108,-0.32027027027027033,0.11945945945945952,206.61399283406368,1.7171190665415006
Fruitridge Vista Water Company,347194782.0,287137090.0,462408155.0,-0.24915947470692856,-0.3790397360098461,0.12988026130291752,174.07898133964034,1.7136271014909465
